"timestamp","value"
2021-01-09 00:00:00,49.1
2021-01-09 01:00:00,47.01
2021-01-09 02:00:00,51.01
2021-01-09 03:00:00,51.9
2021-01-09 04:00:00,50.74
2021-01-09 05:00:00,49
2021-01-09 06:00:00,49.01
2021-01-09 07:00:00,49.95
2021-01-09 08:00:00,53.2
2021-01-09 09:00:00,57.3
2021-01-09 10:00:00,63.07
2021-01-09 11:00:00,65
2021-01-09 12:00:00,65.07
2021-01-09 13:00:00,65
2021-01-09 14:00:00,63.44
2021-01-09 15:00:00,62.48
2021-01-09 16:00:00,63.94
2021-01-09 17:00:00,66.9
2021-01-09 18:00:00,72.42
2021-01-09 19:00:00,70
2021-01-09 20:00:00,66.96
2021-01-09 21:00:00,64.01
2021-01-09 22:00:00,59.5
2021-01-09 23:00:00,56.56
2021-01-10 00:00:00,51.13
2021-01-10 01:00:00,45.3
2021-01-10 02:00:00,44.4
2021-01-10 03:00:00,44.08
2021-01-10 04:00:00,44.36
2021-01-10 05:00:00,42.74
2021-01-10 06:00:00,38.65
2021-01-10 07:00:00,36.32
2021-01-10 08:00:00,38.06
2021-01-10 09:00:00,44.8
2021-01-10 10:00:00,50.5
2021-01-10 11:00:00,51.85
2021-01-10 12:00:00,55.03
2021-01-10 13:00:00,53.83
2021-01-10 14:00:00,50.87
2021-01-10 15:00:00,50
2021-01-10 16:00:00,50
2021-01-10 17:00:00,54.77
2021-01-10 18:00:00,61.2
2021-01-10 19:00:00,61.35
2021-01-10 20:00:00,59.95
2021-01-10 21:00:00,56.17
2021-01-10 22:00:00,51.32
2021-01-10 23:00:00,47.7
2021-01-11 00:00:00,42.1
2021-01-11 01:00:00,32.86
2021-01-11 02:00:00,32.86
2021-01-11 03:00:00,33.01
2021-01-11 04:00:00,31.72
2021-01-11 05:00:00,32.37
2021-01-11 06:00:00,35.43
2021-01-11 07:00:00,50.5
2021-01-11 08:00:00,57.08
2021-01-11 09:00:00,63
2021-01-11 10:00:00,63.18
2021-01-11 11:00:00,59.27
2021-01-11 12:00:00,57
2021-01-11 13:00:00,61
2021-01-11 14:00:00,60.98
2021-01-11 15:00:00,60.12
2021-01-11 16:00:00,63
2021-01-11 17:00:00,62
2021-01-11 18:00:00,61
2021-01-11 19:00:00,59.12
2021-01-11 20:00:00,64.67
2021-01-11 21:00:00,50.5
2021-01-11 22:00:00,50
2021-01-11 23:00:00,50.5
2021-01-12 00:00:00,41.97
2021-01-12 01:00:00,41.39
2021-01-12 02:00:00,36.96
2021-01-12 03:00:00,32.99
2021-01-12 04:00:00,32.85
2021-01-12 05:00:00,35.02
2021-01-12 06:00:00,43.3
2021-01-12 07:00:00,55.24
2021-01-12 08:00:00,58
2021-01-12 09:00:00,61.11
2021-01-12 10:00:00,65.1
2021-01-12 11:00:00,66
2021-01-12 12:00:00,67.41
2021-01-12 13:00:00,68.45
2021-01-12 14:00:00,68
2021-01-12 15:00:00,66.2
2021-01-12 16:00:00,66.69
2021-01-12 17:00:00,65.95
2021-01-12 18:00:00,67.89
2021-01-12 19:00:00,63.3
2021-01-12 20:00:00,60.42
2021-01-12 21:00:00,55.7
2021-01-12 22:00:00,50.81
2021-01-12 23:00:00,50.5
2021-01-13 00:00:00,44.98
2021-01-13 01:00:00,40.85
2021-01-13 02:00:00,37.74
2021-01-13 03:00:00,36.74
2021-01-13 04:00:00,35.91
2021-01-13 05:00:00,39.46
2021-01-13 06:00:00,47.01
2021-01-13 07:00:00,55.97
2021-01-13 08:00:00,62.9
2021-01-13 09:00:00,66.04
2021-01-13 10:00:00,66.24
2021-01-13 11:00:00,65.9
2021-01-13 12:00:00,63.98
2021-01-13 13:00:00,62.89
2021-01-13 14:00:00,62.77
2021-01-13 15:00:00,64.6
2021-01-13 16:00:00,65
2021-01-13 17:00:00,65.55
2021-01-13 18:00:00,65
2021-01-13 19:00:00,63.97
2021-01-13 20:00:00,62.65
2021-01-13 21:00:00,63.23
2021-01-13 22:00:00,52.81
2021-01-13 23:00:00,50.1
2021-01-14 00:00:00,43.94
2021-01-14 01:00:00,49.14
2021-01-14 02:00:00,47.09
2021-01-14 03:00:00,44.89
2021-01-14 04:00:00,44.92
2021-01-14 05:00:00,48.5
2021-01-14 06:00:00,51.62
2021-01-14 07:00:00,61.68
2021-01-14 08:00:00,75.82
2021-01-14 09:00:00,82.91
2021-01-14 10:00:00,85.98
2021-01-14 11:00:00,84.5
2021-01-14 12:00:00,85.03
2021-01-14 13:00:00,83.97
2021-01-14 14:00:00,82
2021-01-14 15:00:00,82.63
2021-01-14 16:00:00,85
2021-01-14 17:00:00,90.82
2021-01-14 18:00:00,97.9
2021-01-14 19:00:00,96
2021-01-14 20:00:00,87.02
2021-01-14 21:00:00,75.5
2021-01-14 22:00:00,67
2021-01-14 23:00:00,62.51
2021-01-15 00:00:00,56.26
2021-01-15 01:00:00,54.12
2021-01-15 02:00:00,52.68
2021-01-15 03:00:00,51.21
2021-01-15 04:00:00,49.51
2021-01-15 05:00:00,49.65
2021-01-15 06:00:00,53.94
2021-01-15 07:00:00,65.45
2021-01-15 08:00:00,90.1
2021-01-15 09:00:00,100.02
2021-01-15 10:00:00,100
2021-01-15 11:00:00,98.9
2021-01-15 12:00:00,96.45
2021-01-15 13:00:00,92.47
2021-01-15 14:00:00,89.56
2021-01-15 15:00:00,89.82
2021-01-15 16:00:00,88
2021-01-15 17:00:00,94.04
2021-01-15 18:00:00,104.19
2021-01-15 19:00:00,99.96
2021-01-15 20:00:00,94.8
2021-01-15 21:00:00,84.5
2021-01-15 22:00:00,68.53
2021-01-15 23:00:00,65.98
2021-01-16 00:00:00,62.96
2021-01-16 01:00:00,51.3
2021-01-16 02:00:00,49.34
2021-01-16 03:00:00,48.86
2021-01-16 04:00:00,48.27
2021-01-16 05:00:00,47.78
2021-01-16 06:00:00,47.51
2021-01-16 07:00:00,48.25
2021-01-16 08:00:00,51.96
2021-01-16 09:00:00,57.5
2021-01-16 10:00:00,61.95
2021-01-16 11:00:00,62.4
2021-01-16 12:00:00,61.57
2021-01-16 13:00:00,57.91
2021-01-16 14:00:00,55.12
2021-01-16 15:00:00,53.8
2021-01-16 16:00:00,54.75
2021-01-16 17:00:00,57.9
2021-01-16 18:00:00,65
2021-01-16 19:00:00,64.92
2021-01-16 20:00:00,60
2021-01-16 21:00:00,54.61
2021-01-16 22:00:00,49
2021-01-16 23:00:00,49
2021-01-17 00:00:00,45.9
2021-01-17 01:00:00,48.19
2021-01-17 02:00:00,46.66
2021-01-17 03:00:00,46.89
2021-01-17 04:00:00,44.93
2021-01-17 05:00:00,44
2021-01-17 06:00:00,43.92
2021-01-17 07:00:00,43.6
2021-01-17 08:00:00,46.21
2021-01-17 09:00:00,48.12
2021-01-17 10:00:00,52.34
2021-01-17 11:00:00,55.51
2021-01-17 12:00:00,57.08
2021-01-17 13:00:00,56.3
2021-01-17 14:00:00,54.02
2021-01-17 15:00:00,52.92
2021-01-17 16:00:00,53.43
2021-01-17 17:00:00,58.2
2021-01-17 18:00:00,63.9
2021-01-17 19:00:00,67.16
2021-01-17 20:00:00,64.9
2021-01-17 21:00:00,61
2021-01-17 22:00:00,56.29
2021-01-17 23:00:00,54.34
2021-01-18 00:00:00,50.97
2021-01-18 01:00:00,49.65
2021-01-18 02:00:00,47.6
2021-01-18 03:00:00,46.91
2021-01-18 04:00:00,46.05
2021-01-18 05:00:00,47.2
2021-01-18 06:00:00,50.03
2021-01-18 07:00:00,60.94
2021-01-18 08:00:00,73.8
2021-01-18 09:00:00,77.05
2021-01-18 10:00:00,77.02
2021-01-18 11:00:00,72.21
2021-01-18 12:00:00,71.51
2021-01-18 13:00:00,69.56
2021-01-18 14:00:00,70.2
2021-01-18 15:00:00,69.56
2021-01-18 16:00:00,72.69
2021-01-18 17:00:00,87
